cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
ikut dolar,ikut dolar,"['ikut', 'dolar']","['ikut', 'dolar']","['ikut', 'dolar']"
tombol yang mau ikut demo kalau pak purbaya di reshufle ,tombol yang mau ikut demo kalau bapak purbaya di reshufle,"['tombol', 'yang', 'mau', 'ikut', 'demo', 'kalau', 'bapak', 'purbaya', 'di', 'reshufle']","['tombol', 'mau', 'ikut', 'demo', 'kalau', 'bapak', 'purbaya', 'reshufle']","['tombol', 'mau', 'ikut', 'demo', 'kalau', 'bapak', 'purbaya', 'reshufle']"
gimana ekonomi indonesia mau membaik dapet menteri yg kerja nya bagus terancam reshufle,gimana ekonomi indonesia mau membaik dapat menteri yang kerja nya bagus terancam reshufle,"['gimana', 'ekonomi', 'indonesia', 'mau', 'membaik', 'dapat', 'menteri', 'yang', 'kerja', 'nya', 'bagus', 'terancam', 'reshufle']","['gimana', 'ekonomi', 'indonesia', 'mau', 'membaik', 'menteri', 'kerja', 'nya', 'bagus', 'terancam', 'reshufle']","['gimana', 'ekonomi', 'indonesia', 'mau', 'baik', 'menteri', 'kerja', 'nya', 'bagus', 'ancam', 'reshufle']"
nepalkan kalau pak purbaya di ganti,nepalkan kalau bapak purbaya di ganti,"['nepalkan', 'kalau', 'bapak', 'purbaya', 'di', 'ganti']","['nepalkan', 'kalau', 'bapak', 'purbaya', 'ganti']","['nepalkan', 'kalau', 'bapak', 'purbaya', 'ganti']"
dukung purbaya,dukung purbaya,"['dukung', 'purbaya']","['dukung', 'purbaya']","['dukung', 'purbaya']"
gas pak jgn takut smoga bapak alah lindungi niat bapak baik murni untuk masyarakan indonesia dan negara ini ,gas bapak jangan takut smoga bapak alah lindungi niat bapak baik murni untuk masyarakan indonesia dan negara ini,"['gas', 'bapak', 'jangan', 'takut', 'smoga', 'bapak', 'alah', 'lindungi', 'niat', 'bapak', 'baik', 'murni', 'untuk', 'masyarakan', 'indonesia', 'dan', 'negara', 'ini']","['gas', 'bapak', 'jangan', 'takut', 'smoga', 'bapak', 'alah', 'lindungi', 'niat', 'bapak', 'baik', 'murni', 'masyarakan', 'indonesia', 'negara']","['gas', 'bapak', 'jangan', 'takut', 'smoga', 'bapak', 'alah', 'lindung', 'niat', 'bapak', 'baik', 'murni', 'masyarakan', 'indonesia', 'negara']"
kalau memang terjadi berarti pemerintahan ini dalam kemdali geng solo,kalau memang terjadi berarti pemerintahan ini dalam kemdali geng solo,"['kalau', 'memang', 'terjadi', 'berarti', 'pemerintahan', 'ini', 'dalam', 'kemdali', 'geng', 'solo']","['kalau', 'memang', 'terjadi', 'berarti', 'pemerintahan', 'kemdali', 'geng', 'solo']","['kalau', 'memang', 'jadi', 'arti', 'perintah', 'kemdali', 'geng', 'solo']"
rakyat bersatu pak pur awas aja di reshufle ,rakyat bersatu bapak pur awas saja di reshufle,"['rakyat', 'bersatu', 'bapak', 'pur', 'awas', 'saja', 'di', 'reshufle']","['rakyat', 'bersatu', 'bapak', 'pur', 'awas', 'reshufle']","['rakyat', 'satu', 'bapak', 'pur', 'awas', 'reshufle']"
dpr kan dewan perwakilan rakyat orang rakyat nya setuju ama dia ngapain dpr komplen komplen fix tidak mewakili rakyat ,dpr kan dewan perwakilan rakyat orang rakyat nya setuju sama dia apa dpr komplen komplen tetap tidak mewakili rakyat,"['dpr', 'kan', 'dewan', 'perwakilan', 'rakyat', 'orang', 'rakyat', 'nya', 'setuju', 'sama', 'dia', 'apa', 'dpr', 'komplen', 'komplen', 'tetap', 'tidak', 'mewakili', 'rakyat']","['dpr', 'kan', 'dewan', 'perwakilan', 'rakyat', 'orang', 'rakyat', 'nya', 'setuju', 'sama', 'apa', 'dpr', 'komplen', 'komplen', 'tetap', 'tidak', 'mewakili', 'rakyat']","['dpr', 'kan', 'dewan', 'wakil', 'rakyat', 'orang', 'rakyat', 'nya', 'tuju', 'sama', 'apa', 'dpr', 'komplen', 'komplen', 'tetap', 'tidak', 'wakil', 'rakyat']"
justru masyarakat di perlihatkan kebenaran menurutku karena pejabat publik yang diusung parpol tidak pernah berorientasi ke rakyat andai sistem parpol dihapuskan mungkin ada ratusan pejabat publik kaya pak purbaya,justru masyarakat di perlihatkan kebenaran menurutku karena pejabat publik yang diusung parpol tidak pernah berorientasi ke rakyat andai sistem parpol dihapuskan mungkin ada ratusan pejabat publik seperti bapak purbaya,"['justru', 'masyarakat', 'di', 'perlihatkan', 'kebenaran', 'menurutku', 'karena', 'pejabat', 'publik', 'yang', 'diusung', 'parpol', 'tidak', 'pernah', 'berorientasi', 'ke', 'rakyat', 'andai', 'sistem', 'parpol', 'dihapuskan', 'mungkin', 'ada', 'ratusan', 'pejabat', 'publik', 'seperti', 'bapak', 'purbaya']","['justru', 'masyarakat', 'perlihatkan', 'kebenaran', 'menurutku', 'pejabat', 'publik', 'diusung', 'parpol', 'tidak', 'pernah', 'berorientasi', 'rakyat', 'andai', 'sistem', 'parpol', 'dihapuskan', 'mungkin', 'ratusan', 'pejabat', 'publik', 'bapak', 'purbaya']","['justru', 'masyarakat', 'lihat', 'benar', 'turut', 'jabat', 'publik', 'usung', 'parpol', 'tidak', 'pernah', 'orientasi', 'rakyat', 'andai', 'sistem', 'parpol', 'hapus', 'mungkin', 'ratus', 'jabat', 'publik', 'bapak', 'purbaya']"
