Link Post,Komentar
https://www.instagram.com/p/DQ0E5IdE0Et/,Instagram Lite
https://www.instagram.com/p/DQ0E5IdE0Et/,Ikut dolar
https://www.instagram.com/p/DQ0E5IdE0Et/,Meta in Indonesia
https://www.instagram.com/p/DQ0E5IdE0Et/,See translation
https://www.instagram.com/p/DQ0E5IdE0Et/,"November 9, 2025"
https://www.instagram.com/p/DQ0E5IdE0Et/,Meta AI
https://www.instagram.com/p/DQ0E5IdE0Et/,Contact Uploading & Non-Users
https://www.instagram.com/p/DQ0E5IdE0Et/,Also from Meta
https://www.instagram.com/p/DQ0E5IdE0Et/,© 2026 Instagram from Meta
https://www.instagram.com/p/DQ0E5IdE0Et/,"global.bali
 7w
Menteri Keuangan Purbaya Yudhi Sadewa menghidupkan kembali wacana redenominasi rupiah—penyederhanaan nominal mata uang dengan menghilangkan beberapa angka nol tanpa mengurangi daya beli.

Rencana tersebut kini menjadi prioritas dan ditargetkan rampung pada tahun 2027.

Apabila benar terwujud, maka uang rupiah tidak lagi memiliki banyak angka nol di belakang. Rp1.000 akan menjadi Rp1, diikuti dengan harga barang-barang yang juga mengurangi angka nol.

Bagaimana pendapat kalian?

#redenominasi #rupiah #uangrupiah #matauang #investasi #dolar #menkeu #menterikeuangan"
https://www.instagram.com/p/DQ0E5IdE0Et/,Meta Verified
https://www.instagram.com/p/DQVzS_CEi5W/,Tombol yang mau ikut demo kalau pak Purbaya di reshuffle 👉
https://www.instagram.com/p/DQVzS_CEi5W/,1 like
https://www.instagram.com/p/DQVzS_CEi5W/,View all 3 replies
https://www.instagram.com/p/DQVzS_CEi5W/,"Gimana ekonomi Indonesia mau membaik, dapet menteri yg kerja nya bagus terancam reshuffle"
https://www.instagram.com/p/DQVzS_CEi5W/,Nepalkan kalau pak Purbaya di ganti
https://www.instagram.com/p/DQVzS_CEi5W/,Dukung PURBAYA...
https://www.instagram.com/p/DQVzS_CEi5W/,View all 1 replies
https://www.instagram.com/p/DQVzS_CEi5W/,Gas pak jgn takut 🔥 smoga bapak allah lindungi niat bapak baik murni untuk masyarakan indonesia dan negara ini 🔥🔥🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Kalau memang terjadi? Berarti pemerintahan ini dalam kemdali geng solo
https://www.instagram.com/p/DQVzS_CEi5W/,RAKYAT BERSATU PAK PUR!!!!! AWAS AJA DI RESHUFFLE 🔥🔥🔥🔥🔥🔥🔥
https://www.instagram.com/p/DQVzS_CEi5W/,DPR kan Dewan Perwakilan Rakyat ?? Orang rakyat nya setuju ama dia ngapain dpr komplen komplen .. fix tidak mewakili rakyat 😂
https://www.instagram.com/p/DQVzS_CEi5W/,4 likes
https://www.instagram.com/p/DQVzS_CEi5W/,"Justru masyarakat di perlihatkan kebenaran menurutku, karena pejabat publik yang diusung parpol tidak pernah berorientasi ke rakyat. Andai sistem parpol dihapuskan mungkin ada ratusan pejabat publik kaya Pak Purbaya."
https://www.instagram.com/p/DQVzS_CEi5W/,Kalau mang bener di resufle ancaman si opung benar di lakukan dan di kabulkan Presiden
https://www.instagram.com/p/DQVzS_CEi5W/,"Orang Jujur, Orang Benar, Orang Cerdas , Siap2 di Reshuffle Kaya dulu Pak @aniesbaswedan DLL Kena Fitnah Korupsi dan segala macamnya lah, Tapi Gaa Terbukti satu pun setelah dipanggil KPK @purbayayudhi_official"
https://www.instagram.com/p/DQVzS_CEi5W/,Blm setahun woiii
https://www.instagram.com/p/DQVzS_CEi5W/,View all 7 replies
https://www.instagram.com/p/DQVzS_CEi5W/,40 likes
https://www.instagram.com/p/DQVzS_CEi5W/,"Baru aja dpt secercah harapan di negeri ini udah mau di padamin lagi, RIP konoha 😢"
https://www.instagram.com/p/DQVzS_CEi5W/,Meta in Indonesia
https://www.instagram.com/p/DQVzS_CEi5W/,Pak Purbaya 👍👍🇲🇨🇲🇨
https://www.instagram.com/p/DQVzS_CEi5W/,Tandain org org yg ada di proyek whoosh
https://www.instagram.com/p/DQVzS_CEi5W/,View all 18 replies
https://www.instagram.com/p/DQVzS_CEi5W/,Smpek kpan indonesia akan begini onk seng apik genah di ganti seng bajingan bobrok2 di ingu😂😂😂lapo se wedi ambek cocot e luhut dll msok ya sekelas presiden gak iso menilai ..lha lapo dadi presiden lek carane ngene
https://www.instagram.com/p/DQVzS_CEi5W/,"kalo sampe bener, makin murka rakyat"
https://www.instagram.com/p/DQVzS_CEi5W/,keren euy pakk🔥semangatt👏
https://www.instagram.com/p/DQVzS_CEi5W/,Innalillahi...negeri sarang penyamun
https://www.instagram.com/p/DQVzS_CEi5W/,88 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Indonesia emas ? Baru di tangani pak purbaya aja udah cemas wkwkwk @prabowo kepemimpinan anda perlu di buktikan untuk mengatasi masalah ini.
https://www.instagram.com/p/DQVzS_CEi5W/,"Semoga Sehat wal'afiah bapak sekeluarga dan selalu dalam lindungan Allah , Allohumma Solli'ala sayyidina Muhammad wa ala Ali sayyidina Muhammad 🤲🏻🤲🏻🙏"
https://www.instagram.com/p/DQVzS_CEi5W/,"Gara2 dua anj, bikin 1 negara bermasalah"
https://www.instagram.com/p/DQVzS_CEi5W/,rakyat yg bakal turun ke jalan kalo sampe pak purbaya di reshuffle .. enak aja tuh si luhut udah malingin duit rakyat malah purbaya yg di pecat
https://www.instagram.com/p/DQVzS_CEi5W/,Pejabat dzolim nugarelo sing geura modyaaarrrr
https://www.instagram.com/p/DQVzS_CEi5W/,Knapa orang jujur mau d resapel apa salah nya
https://www.instagram.com/p/DQVzS_CEi5W/,"October 28, 2025"
https://www.instagram.com/p/DQVzS_CEi5W/,"3,051 likes"
https://www.instagram.com/p/DQVzS_CEi5W/,Indo indo😂
https://www.instagram.com/p/DQVzS_CEi5W/,Gass terus pak Purbaya.. jangan kendor... pecat LUHUT!!!
https://www.instagram.com/p/DQVzS_CEi5W/,Jangann dongggg!!! Alasannya ituloh 🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Meta Verified
https://www.instagram.com/p/DQVzS_CEi5W/,"Gue Turun ke jalan klo sampe Bapak ini di reshuffle, kalau perlu demo aja kita ,"
https://www.instagram.com/p/DQVzS_CEi5W/,Yg harus di resuffle bukan nya Mentri ESDY ya...?? Ini saya yg bodoh atau para pemimpin di negeri ini yang butaa...??? Mereka kerja untuk siapa sih..rakyat nya atau diri sendiri???
https://www.instagram.com/p/DQVzS_CEi5W/,See translation
https://www.instagram.com/p/DQVzS_CEi5W/,"1,852 likes"
https://www.instagram.com/p/DQVzS_CEi5W/,9 likes
https://www.instagram.com/p/DQVzS_CEi5W/,"Tenang ga akan terjadi, para bandit sudah mulai pada panik, gass poool pak @menkeuri rakyat bersamamu"
https://www.instagram.com/p/DQVzS_CEi5W/,Harus turun bersama2 utk kawal trus pal pur...dam sudahi kekuasaan luhut...rakyat hrus bersatu ya....jgn tkut.....🔥🔥🔥🔥🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Adu kuat aja tekanan politik vs tekanan rakyat Indonesia😂
https://www.instagram.com/p/DQVzS_CEi5W/,demo dirumah luhut & jokowi
https://www.instagram.com/p/DQVzS_CEi5W/,Santai pak bapak di ganti kita yg turun 😂😂
https://www.instagram.com/p/DQVzS_CEi5W/,Pengen di demo lagiiii klo pa purbaya di reshuffle…….. rakyat udah muakkk sama kaliannn yang pada serakahhh korupppppp
https://www.instagram.com/p/DQVzS_CEi5W/,3 likes
https://www.instagram.com/p/DQVzS_CEi5W/,79 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Rakyat harus kompak kita nepalkan perampok yg menjarah kekayaan Indonesia. 🔥🔥🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Lah kalo bener tekanan itu datang dari Jokowi cs ga manuk akal juga. Karena dia juga ga punya parpol😂😂
https://www.instagram.com/p/DQVzS_CEi5W/,Luhut ni menghambat indo maju aja woe 😂
https://www.instagram.com/p/DQVzS_CEi5W/,DAN RYT TAHU SIAPA YG PLG BERTANGGUNG JAWAB JK ITU TERJADI
https://www.instagram.com/p/DQVzS_CEi5W/,heran gw mah! giliran ada yang bener reshuffle! ni negara emang ga bakal maju begini terus aja kelakuan..ampun dah😒🤔
https://www.instagram.com/p/DQVzS_CEi5W/,"wakandatalks
 Edited
•
9w
Ketegangan Mulai Memanas di Lingkar Pemerintahan Prabowo!

Menteri Keuangan Purbaya kini jadi sorotan tajam setelah menolak penggunaan APBN untuk membayar utang proyek Kereta Cepat Whoosh.

Langkah yang dinilai rasional secara fiskal, justru berbuntut pada tekanan politik yang kian kuat.

Menurut analis geopolitik Amir Hamzah, Purbaya sedang menghadapi “operasi tekanan terstruktur”:

— Framing negatif di media,
— Panggilan intens dari Komisi XI DPR,
— Hingga melemahnya dukungan di lingkar kabinet.

Bahkan, rumor reshuffle kabinet mulai berembus kencang di sekitar istana.

Purbaya disebut menolak sistem pembiayaan lama yang selama ini dikelola kelompok pro-Luhut dan dari situlah benturan kepentingan memuncak.

Secara ekonomi, ia benar. Tapi di panggung politik, kebenaran sering kali kalah oleh kekuasaan.

Dan seperti biasa, di Republik ini yang diserang bukan yang salah, tapi yang berani berbeda.

Sumber : Moneytalk

#KabinetPrabowo #KeretaCepatWhoosh #APBN #PurbayaYudhiSadewa #purbaya #menkeu #MenteriKeuangan #menteripurbaya #reshufflekabinet"
https://www.instagram.com/p/DQVzS_CEi5W/,KALAU SAMPAI ITU TERJADI RYT AKAN SEMAKIN BERSATU MENGHADAPINYA ...KT LIHAT SJ
https://www.instagram.com/p/DQVzS_CEi5W/,63 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Jangan sampai di reshuffle
https://www.instagram.com/p/DQVzS_CEi5W/,"Ya di Reshuffle balik ma rakyat,mereka yg mau menjegal pak pur"
https://www.instagram.com/p/DQVzS_CEi5W/,7 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Kami bersama pak purbaya🙌
https://www.instagram.com/p/DQVzS_CEi5W/,Meta AI
https://www.instagram.com/p/DQVzS_CEi5W/,Luhut itu pensiunkan..otak nya jokowi itu😂
https://www.instagram.com/p/DQVzS_CEi5W/,"Luhut ini ga mati2 y ? , apa emng di biarkan hidup sama tuhan sebagai cobaaan bagi seluruh rakyat indonesia y ?"
https://www.instagram.com/p/DQVzS_CEi5W/,2 likes
https://www.instagram.com/p/DQVzS_CEi5W/,Pak presiden @prabowo jgn ganti menkeu.
https://www.instagram.com/p/DQVzS_CEi5W/,Se7...kompak dong...semangat 💪🔥🔥🔥🔥
https://www.instagram.com/p/DQVzS_CEi5W/,Demo lg aja
https://www.instagram.com/p/DQVzS_CEi5W/,Reshuffle karena ga kerja ❌️ Reshuffle karena banyak yang keancam proyeknya ✅️ DAGELAN MULU AH!!!
https://www.instagram.com/p/DQVzS_CEi5W/,Knp gk si lumut. Mn uang d pke sama ponakannya . .
https://www.instagram.com/p/DQVzS_CEi5W/,Contact Uploading & Non-Users
https://www.instagram.com/p/DQVzS_CEi5W/,Also from Meta
https://www.instagram.com/p/DQVzS_CEi5W/,Kalau sampe di copot berarti... 😂😂😂
https://www.instagram.com/p/DQVzS_CEi5W/,"Purbaya di reshufle maka akan ada demo besar2an , saya yakin"
https://www.instagram.com/p/DQVzS_CEi5W/,"Luhut ini kan dulu sakit keras, kenapa pake sembuh sih 🗿"
